Designator,Mid X,Mid Y,Rotation,Layer
R6_4,165.605,-31.475,90,top
R6_3,107.605,-107.475,90,top
R6_2,223.605,-31.475,90,top
R6,223.605,-107.475,90,top
R7_12,81,-77,180,top
R7_11,139,-153,180,top
R7_10,23,-229,180,top
R7_9,81,-153,180,top
R7_8,197,-229,180,top
R7_7,197,-153,180,top
R7_6,197,-77,180,top
R7_5,23,-77,180,top
R7_4,23,-153,180,top
R7_3,81,-229,180,top
R7_2,139,-77,180,top
R7,139,-229,180,top
R8_12,31,-153,180,top
R8_11,89,-229,180,top
R8_10,89,-77,180,top
R8_9,147,-153,180,top
R8_8,205,-77,180,top
R8_7,205,-153,180,top
R8_6,31,-77,180,top
R8_5,205,-229,180,top
R8_4,31,-229,180,top
R8_3,89,-153,180,top
R8_2,147,-229,180,top
R8,147,-77,180,top
R9_12,213,-77,180,top
R9_11,97,-153,180,top
R9_10,97,-77,180,top
R9_9,155,-229,180,top
R9_8,97,-229,180,top
R9_7,39,-229,180,top
R9_6,155,-77,180,top
R9_5,39,-77,180,top
R9_4,155,-153,180,top
R9_3,213,-229,180,top
R9_2,39,-153,180,top
R9,213,-153,180,top
SW1_12,128,-42,270,top
SW1_11,12,-118,270,top
SW1_10,70,-194,270,top
SW1_9,186,-194,270,top
SW1_8,70,-42,270,top
SW1_7,186,-118,270,top
SW1_6,12,-194,270,top
SW1_5,12,-42,270,top
SW1_4,70,-118,270,top
SW1_3,128,-118,270,top
SW1_2,128,-194,270,top
SW1,186,-42,270,top
SW2_12,128,-54,270,top
SW2_11,70,-206,270,top
SW2_10,186,-206,270,top
SW2_9,70,-54,270,top
SW2_8,12,-54,270,top
SW2_7,12,-130,270,top
SW2_6,128,-206,270,top
SW2_5,186,-54,270,top
SW2_4,12,-206,270,top
SW2_3,70,-130,270,top
SW2_2,186,-130,270,top
SW2,128,-130,270,top
SW3_12,128,-66,270,top
SW3_11,186,-218,270,top
SW3_10,70,-218,270,top
SW3_9,128,-142,270,top
SW3_8,70,-142,270,top
SW3_7,12,-218,270,top
SW3_6,186,-66,270,top
SW3_5,128,-218,270,top
SW3_4,12,-66,270,top
SW3_3,186,-142,270,top
SW3_2,70,-66,270,top
SW3,12,-142,270,top
SW4_12,58,-42,90,top
SW4_11,232,-42,90,top
SW4_10,116,-194,90,top
SW4_9,174,-194,90,top
SW4_8,116,-118,90,top
SW4_7,232,-194,90,top
SW4_6,174,-42,90,top
